Afghanistan	KANDAHAR AIRPORT;21.4	KANDAHAR AIRPORT;28.4	Mazar-I-Sharif;14.3	KABUL AIRPORT;271.02	Mazar-I-Sharif;13.2	Mazar-I-Sharif;87.0	KABUL AIRPORT;30.0	KABUL AIRPORT;35.0	KUNDUZ;39.0	KUNDUZ;1.0	KABUL AIRPORT;5.0
Bolivia	Puerto Suarez;28.3	Riberalta;33.2	Puerto Suarez;22.5	Rurrenabaque;2786.62	Santa Cruz / El Trompillo;22.9	Viru-Viru;161.0	La Paz / Alto;26.0	La Paz / Alto;158.0	La Paz / Alto;258.0	Viru-Viru;3.0	La Paz / Alto;28.0
Bosnia and Herzegovina	Mostar;17.8	Mostar;22.3	Mostar;10.8	Mostar;1917.18	Mostar;12.1	Sarajevo / Butmir;191.0	Sarajevo / Butmir;67.0	Mostar;66.0	Sarajevo / Butmir;98.0	Sarajevo / Butmir;3.0	Livno;3.0
Botswana	Kasane;25.5	Maun;32.6	Maun;17.2	Shakawe;634.48	Jwaneng;16.0	Seretse Khama International Airport;82.0	Maun;1.0	Kasane;100.0	Seretse Khama International Airport;17.0	Francistown;1.0	Kasane;3.0
Brazil	Mocoro / 17 Rosado;31.8	Teresina Aeroporto;36.2	Oiapoque;28.0	Fortaleza Aeropor-To;3127.03	Parnaiba Aeroporto;23.6	Belem Aeroporto;291.0	Curitiba Aeroporto;6.0	Belem Aeroporto;238.0	Cruzeiro Do Sul;220.0	Campinas Aeroporto;3.0	Londrina Aeroporto;7.0
British Indian Ocean Territory	Diego Garcia;28.3	Diego Garcia;33.7	Diego Garcia;25.7	Diego Garcia;11413.51	Diego Garcia;17.2	Diego Garcia;302.0	Diego Garcia;6.0	Diego Garcia;60.0	Diego Garcia;10.0	Diego Garcia;3.0	Diego Garcia;6.0
British Virgin Islands	WALLBLAKE;28.8	Beef Island, Tortola;30.7	WALLBLAKE;27.2	EMPTY;0.0	WALLBLAKE;23.0	Beef Island, Tortola;95.0	EMPTY;0.0	Beef Island, Tortola;24.0	EMPTY;0.0	WALLBLAKE;2.0	EMPTY;0.0
Brunei	BRUNEI INTL;28.1	Brunei Airport;32.6	Brunei Airport;24.5	Brunei Airport;3347.55	BRUNEI INTL;10.0	Brunei Airport;277.0	BRUNEI INTL;1.0	Brunei Airport;219.0	Brunei Airport;38.0	Brunei Airport;1.0	BRUNEI INTL;5.0
Bulgaria	SVILENGRAD;15.4	SANDANSKI;21.9	KALIAKPA;11.0	Varna;2103.13	BOTEV VRAH (TOP/SOM;44.0	Sofia Observ.;173.0	MUSSALA (TOP/SOMMET;164.0	Sofia Observ.;54.0	BOTEV VRAH (TOP/SOM;301.0	Burgas;2.0	MUSSALA (TOP/SOMMET;14.0
Burkina Faso	Dori;30.2	Dori;38.2	Ouahigouya;24.1	Po;1428.03	Bobo-Dioulasso;13.1	Ouagadougou;90.0	Ouagadougou;2.0	Ouagadougou;131.0	Boromo;5.0	Ouahigouya;6.0	Dori;3.0
Cambodia	Phnom-Penh / Pochentong;29.7	Phnom-Penh / Pochentong;34.2	Siemreap;25.3	EMPTY;0.0	Phnom-Penh / Pochentong;13.6	Phnom-Penh / Pochentong;156.0	Siemreap;2.0	Phnom-Penh / Pochentong;89.0	Phnom-Penh / Pochentong;2.0	EMPTY;0.0	Siemreap;1.0
Cameroon	Garoua;30.1	Garoua;36.1	Douala Obs.;24.3	Douala Obs.;2464.61	Garoua;10.3	Douala Obs.;226.0	Douala Obs.;1.0	Douala Obs.;284.0	Yaounde;31.0	Douala Obs.;6.0	Ngaoundere;3.0
