Afghanistan	KANDAHAR AIRPORT;21.4	KANDAHAR AIRPORT;28.4	Mazar-I-Sharif;14.3	KABUL AIRPORT;271.02	Mazar-I-Sharif;13.2	Mazar-I-Sharif;87.0	KABUL AIRPORT;30.0	KABUL AIRPORT;35.0	KUNDUZ;39.0	KUNDUZ;1.0	KABUL AIRPORT;5.0
Hungary	BAJA;13.5	BAJA;18.8	Siofok;9.4	SOPRON;1487.69	Budapest / Ferihegy;19.2	Budapest / Ferihegy;193.0	KEKESTETO;78.0	Siofok;52.0	KEKESTETO;168.0	Nyiregyhaza / Napkor;2.0	KEKESTETO;5.0
Iceland	CALUMET II;11.2	CALUMET II;15.0	CALUMET II;8.4	KIRKJUBAEJARKLAUSTU;2404.92	Vestmannaeyjar;44.7	Reykjavik;271.0	HVERAVELLIR;215.0	Reykjavik;19.0	HVERAVELLIR;193.0	Reykjavik;2.0	Keflavikurflugvollur;47.0
India	NELLORE;29.8	KURNOOL;36.1	M.O. AMINI;25.9	Mangalore / Bajpe;5018.52	Indore;19.0	JORHAT (IN-AFB);206.0	GUNA;28.0	Agartala;117.0	JORHAT (IN-AFB);196.0	Cochin / Willingdon;4.0	Gauhati;18.0
Indonesia	Surabaya;29.4	Palu / Mutiara;34.3	TUAL/DUMATUBUN;26.4	Sibolga / Pinangsori;3857.78	Kupang / El Tari;18.4	Kokonao / Timuka;311.0	Gorontalo / Jalaluddin;4.0	BOGOR/CITEKO;227.0	Enarotali;246.0	Tanjungpandan / Buluh Tumbang;4.0	Banda Aceh / Blangbintang;12.0
Iran	SIRRI ISLAND;29.6	Abadan;35.5	SIRRI ISLAND;26.8	ANZALI;2617.14	Zabol;23.7	Rasht;175.0	ARDABIL;48.0	Tabriz;64.0	ARDABIL;244.0	ARDABIL;5.0	ANZALI;7.0
Iraq	FAO;27.0	AMARAH;33.9	FAO;21.0	Mosul;601.47	BASRAH;19.9	Mosul;91.0	SULAIMANIYA;7.0	SULAIMANIYA;45.0	Mosul;32.0	BASRAH;1.0	SULAIMANIYA;6.0
Ireland	VALENTIA OBSERVATOR;11.8	Shannon Airport;14.9	ROSSLARE;9.4	VALENTIA OBSERVATOR;2182.57	MALIN HEAD;32.9	BELMULLET;329.0	MALIN HEAD;65.0	Casement Aerodrome;16.0	Knock/Connaught;146.0	Cork Airport;3.0	BELMULLET;72.0
Israel	Eilat;28.0	Eilat;33.7	Eilat;21.1	MOUNT KENAAN;898.39	Eilat;27.4	RAMAT-DAVID;101.0	Jerusalem Airport;13.0	RAMAT-DAVID;33.0	Sde-Haifa Haifa;63.0	Sde-Haifa Haifa;1.0	Ben-Gurion International Airport;9.0
Italy	Lampedusa;21.6	SIGONELLA;25.4	Lampedusa;19.2	Monte Cimone;12076.38	Monte Cimone;37.7	Aviano Usaf;306.0	Pian Rosa;196.0	AVIANO (USAF);87.0	Monte Cimone;279.0	Rimini;8.0	GRIGNA SETTENTRION;19.0
Jamaica	Kingston / Norman Manley;29.0	Kingston / Norman Manley;32.8	Kingston / Norman Manley;25.6	Montego Bay / Sangster;3699.04	Kingston / Norman Manley;20.9	Montego Bay / Sangster;189.0	Kingston / Norman Manley;4.0	Montego Bay / Sangster;161.0	Montego Bay / Sangster;3.0	Montego Bay / Sangster;2.0	Kingston / Norman Manley;7.0
Japan	Tarama Island;26.6	Minamitorishima;28.8	Yonaguni Airport;24.3	Yakushima;5324.13	FUJISAN;66.1	Yakushima;322.0	KUTCHAN;155.0	Komatsu Ab;76.0	Ashiya Ab;301.0	Komatsu Ab;14.0	AIKAWA;68.0
Jordan	Aqaba Airport;27.3	Aqaba Airport;32.8	Aqaba Airport;20.5	Irbid;778.25	Aqaba Airport;21.0	Amman Airport;74.0	Amman Airport;11.0	Amman Airport;15.0	Queen Alia Airport;33.0	Queen Alia Airport;2.0	Amman Airport;4.0
Kazakhstan	Shymkent;14.8	Shymkent;21.5	Mangghystan;10.3	Almaty;2737.81	Mangghystan;24.3	Tselinograd / Aqmola;145.0	Tselinograd / Aqmola;133.0	Almaty;43.0	Almaty;99.0	Uralsk;2.0	Tselinograd / Aqmola;7.0
Kenya	Lodwar;30.4	Lodwar;35.7	Malindi;25.1	Kisii;2554.72	Marsabit;42.0	Kisii;222.0	Kisii;12.0	Kisumu;229.0	Marsabit;171.0	Kitale;3.0	Kisumu;11.0
Kiribati	Tarawa;28.7	Tarawa;31.4	TARAWA TIDE AWS;27.0	Tarawa;3157.43	TARAWA TIDE AWS;21.6	TARAWA/BETIO;234.0	Tarawa;3.0	Tarawa;8.0	Tarawa;1.0	Tarawa;1.0	Tarawa;3.0
Kuwait	SHUWAIKH;29.0	Kuwait Internationalairport;35.3	UMM-AL-MARADIM;25.2	Kuwait Internationalairport;256.0	UMM AL-AISH;25.9	BUBIYAN;67.0	Kuwait Internationalairport;3.0	BUBIYAN;56.0	FAILAKA ISLAND;35.0	BUBIYAN;3.0	BUBIYAN;5.0
Kyrgyzstan	MARIA ISLAND;13.6	LAUNCESTON AIRPORT;18.7	MARIA ISLAND;10.3	WARRA;2144.92	MARIA ISLAND;26.1	WARRA;218.0	Chuy / Bishkek Airport;59.0	Chuy / Bishkek Airport;36.0	WARRA;94.0	EMPTY;0.0	EMPTY;0.0
Laos	Savannakhet;28.5	Luang-Prabang;33.3	Pakse;23.8	Vientiane;1507.0	SOUTHWEST PASS;42.1	Pakse;158.0	Vientiane;11.0	Vientiane;103.0	Vientiane;261.0	Vientiane;3.0	Savannakhet;12.0
Latvia	Liepaja East;8.9	Liepaja East;12.0	Ventspils;5.9	Riga;3796.27	Liepaja East;21.9	Liepaja East;247.0	Riga;94.0	Liepaja East;27.0	Liepaja East;106.0	Riga;1.0	Ventspils;15.0
Lebanon	Beyrouth Aeroport;22.6	Beyrouth Aeroport;27.2	Beyrouth Aeroport;18.9	Beyrouth Aeroport;1111.83	Beyrouth Aeroport;14.2	VARENA;127.0	VARENA;63.0	Beyrouth Aeroport;67.0	HOUCHE-AL-OUMARA;26.0	Beyrouth Aeroport;2.0	Beyrouth Aeroport;4.0
Liberia	ROBERTS FIELD;26.7	ROBERTS FIELD;31.6	ROBERTS FIELD;23.6	ROBERTS FIELD;1832.59	ROBERTS FIELD;7.8	ROBERTS FIELD;231.0	ROBERTS FIELD;1.0	ROBERTS FIELD;173.0	ROBERTS FIELD;230.0	EMPTY;0.0	ROBERTS FIELD;1.0
Libya	Kufra;26.4	OBARI;33.7	Kufra;19.2	SHAHAT;788.97	Benina;24.1	Benina;149.0	Benina;5.0	Benina;113.0	SHAHAT;105.0	Benina;2.0	Benina;107.0
Lithuania	Kaunas;9.5	Kaunas;12.6	Palanga;5.9	Vilnius;3094.43	Vilnius;19.0	Vilnius;207.0	Vilnius;112.0	Kaunas;53.0	Vilnius;121.0	Vilnius;2.0	Vilnius;6.0
Luxembourg	Luxembourg / Luxembourg;10.9	Luxembourg / Luxembourg;15.0	Luxembourg / Luxembourg;7.3	Luxembourg / Luxembourg;1139.44	Luxembourg / Luxembourg;16.5	Luxembourg / Luxembourg;248.0	Luxembourg / Luxembourg;66.0	Luxembourg / Luxembourg;38.0	Luxembourg / Luxembourg;105.0	Luxembourg / Luxembourg;3.0	Luxembourg / Luxembourg;12.0
Macau	DIBA;28.1	DIBA;33.1	DIBA;23.5	Taipa;2414.2	MATAD;19.9	Taipa;213.0	GANDAN HURYEE;115.0	Taipa;66.0	TOSONTSENGEL;44.0	UNDERKHAAN;2.0	SAINSHAND;6.0
Madagascar	Fascene Nossi-Be;28.1	Majunga;32.9	Fascene Nossi-Be;22.7	Tamatave;4496.92	Diego-Suarez;22.3	Tamatave;235.0	Fort-Dauphin;4.0	Antananarivo / Ivato;132.0	Fianarantsoa;134.0	Antananarivo / Ivato;4.0	Antananarivo / Ivato;4.0
Malaysia	Kuala Lumpur / Subang;28.6	Kuala Lumpur / Subang;33.8	Labuan;25.8	Sandakan;5653.04	OKHA;17.7	Kuching;311.0	OKHA;14.0	Kuala Lumpur / Subang;254.0	Sibu;88.0	Sitiawan;15.0	Sitiawan;10.0
Maldives	Male;29.2	HANIMAADHOO;31.7	Male;27.2	Gan;2607.6	Male;17.9	Male;181.0	Male;1.0	Male;64.0	Gan;1.0	Male;1.0	Male;1.0
Mali	Menaka;31.7	Menaka;38.9	YELIMANE;25.5	Bamako / Senou;2042.15	STANNARD ROCK;33.7	Bamako / Senou;92.0	Bamako / Senou;2.0	Sikasso;163.0	Bamako / Senou;6.0	Tombouctou;3.0	Bamako / Senou;3.0
Malta	Luqa;19.5	Luqa;23.8	Luqa;16.1	Luqa;1340.13	Luqa;18.3	Luqa;173.0	Luqa;4.0	Luqa;72.0	Luqa;17.0	Luqa;3.0	Luqa;51.0
Marshall Islands	Kwajalein / Bucholz;28.6	Kwajalein / Bucholz;31.2	Kwajalein / Bucholz;26.7	Majuro / Marshall Island;4203.82	Kwajalein / Bucholz;24.9	Kwajalein / Bucholz;301.0	Kwajalein / Bucholz;10.0	Kwajalein / Bucholz;128.0	Majuro / Marshall Island;6.0	Kwajalein / Bucholz;2.0	Majuro / Marshall Island;4.0
Martinique	CARAVELLE;27.3	Le Lamentin;31.5	CARAVELLE;25.8	Le Lamentin;2792.42	CARAVELLE;25.3	Le Lamentin;282.0	Le Lamentin;1.0	Le Lamentin;48.0	Le Lamentin;17.0	Le Lamentin;1.0	Le Lamentin;3.0
Mauritania	Aioun El Atrouss;29.7	Boutilimit;36.2	Aioun El Atrouss;23.5	Nouadhibou;1118.38	Nouadhibou;32.4	Atar;36.0	Nouakchott;3.0	Aioun El Atrouss;42.0	Nouadhibou;22.0	Nouakchott;1.0	Nouadhibou;2.0
Mauritius	AGALEGA;27.8	AGALEGA;31.1	ST. BRANDON (ST. RA;25.0	AGALEGA;2780.83	ST. BRANDON (ST. RA;31.4	VACOAS (MAURITIUS);252.0	Plaisance Mauritius;2.0	Plaisance Mauritius;31.0	Plaisance Mauritius;3.0	Plaisance Mauritius;4.0	VACOAS (MAURITIUS);3.0
Mexico	CHICHEN ITZA;30.1	CHOIX;36.1	CHICHEN ITZA;26.3	Tuxtla Gutierrez, Chis.;7769.05	Gen. Heriberto Jara;30.5	ACAPULCO;259.0	San Luis Potosi, S. L. P.;46.0	Toluca / Jose Maria;127.0	Tuxtla Gutierrez, Chis.;272.0	Toluca / Jose Maria;2.0	ACAPULCO;212.0
Micronesia	Ponape Island;29.3	POHNPEI WEATHER CEN;32.0	OROLUK ISLAND;26.5	Ponape Island;6009.89	OROLUK ISLAND;17.9	Ponape Island;323.0	Yap Island;8.0	Ponape Island;46.0	Ponape Island;8.0	Truk Intl / Moen Island;1.0	Truk Intl / Moen Island;8.0
Moldova	Kisinev;12.2	Kisinev;16.7	Kisinev;8.1	Kisinev;2715.97	Kisinev;15.9	Kisinev;144.0	Kisinev;78.0	Kisinev;34.0	Kisinev;60.0	Kisinev;1.0	Kisinev;4.0
Mongolia	Ulan Bator;0.7	Ulan Bator;9.6	Ulan Bator;-5.7	Ulan Bator;474.46	Ulan Bator;11.5	Ulan Bator;89.0	Ulan Bator;97.0	Ulan Bator;31.0	Ulan Bator;15.0	Ulan Bator;2.0	Ulan Bator;3.0
Morocco	Errachidia;22.1	Marrakech;29.1	DAKHLA;17.7	Tanger Aerodrome;1643.64	DAKHLA;31.3	Fes-Sais;119.0	Ifrane;26.0	MIDELT;60.0	Nouasseur;119.0	Meknes;2.0	Rabat-Sale;7.0
Mozambique	Pemba;25.8	Quelimane;31.4	Pemba;21.5	Maputo / Mavalane;1011.96	Maputo / Mavalane;24.4	Quelimane;120.0	Maputo / Mavalane;1.0	Lichinga;116.0	Quelimane;58.0	EMPTY;0.0	Maputo / Mavalane;1.0
Myanmar	Yangon;28.5	Yangon;34.2	Mergui;23.9	Mingaladon;1503.17	Mingaladon;16.9	Mingaladon;184.0	Yangon;5.0	Dawei;86.0	Lashio;127.0	Mingaladon;2.0	Yangon;10.0
Namibia	ONDANGWA;24.4	Rundu;32.6	ONDANGWA;16.5	Grootfontein;1042.93	LUDERITZ (DIAZ POIN;32.7	Windhoek/Eros (SAAF);132.0	Grootfontein;1.0	Rundu;67.0	Walvis Bay, Rooikop;182.0	Grootfontein;1.0	Rundu;4.0
Nauru	NAURU;27.7	NAURU;29.6	NAURU;26.3	TERREY HILLS RESERV;1400.73	MUNUREUNDI GAP AWS;22.8	NAURU ARC-2;127.0	MT GININI;28.0	EMPTY;0.0	TERREY HILLS RESERV;53.0	EMPTY;0.0	EMPTY;0.0
Nepal	Kathmandu Airport;19.7	Kathmandu Airport;26.5	Kathmandu Airport;13.1	Kathmandu Airport;1540.75	Kathmandu Airport;6.7	Kathmandu Airport;160.0	Kathmandu Airport;1.0	Kathmandu Airport;106.0	Kathmandu Airport;73.0	EMPTY;0.0	Kathmandu Airport;3.0
Netherlands	LE GOEREE;12.4	ELL AWS;16.5	EURO PLATFORM;11.0	Deelen;2075.14	K13-A;37.2	F-03 (PLATFORM);319.0	Rotterdam Airport Zestienhoven;77.0	Twenthe;48.0	Soesterberg;282.0	Eindhoven;3.0	Amsterdam Airport Schiphol;60.0
Netherlands Antilles	Flamingo Airport, Bonaire;29.9	Hato Airport, Curacao;32.4	Flamingo Airport, Bonaire;26.6	Roosevelt Airport Saint Eustatius;1818.39	Hato Airport, Curacao;31.1	Juliana Airport, Saint Maarten;283.0	Hato Airport, Curacao;3.0	Hato Airport, Curacao;59.0	Hato Airport, Curacao;3.0	Juliana Airport, Saint Maarten;8.0	Flamingo Airport, Bonaire;5.0
New Caledonia	ILE SURPRISE;26.5	BOGUE FIELD MCALF;31.1	ILE SURPRISE;24.2	POINDIMIE (NLLE-CAL;3150.48	DIAMOND SHOALS (LS);33.2	Noumea Nlle-Caledonie;177.0	Noumea Nlle-Caledonie;1.0	La Tontouta Nlle-Caledonie;21.0	Ouanaham Ile Lifou;57.0	Noumea Nlle-Caledonie;2.0	La Tontouta Nlle-Caledonie;2.0
New Zealand	Christmas / Cassidy;27.9	Christmas / Cassidy;30.9	Christmas / Cassidy;25.2	HAAST AWS;4602.99	SOUTH WEST CAPE AWS;41.3	CAMPBELL ISLAND;340.0	CAMPBELL ISLAND;56.0	Hokitika Aerodrome;19.0	KAITAIA AERODROME;89.0	Invercargill Aerodrome;2.0	CAMPBELL ISLAND;60.0
Nicaragua	Chinandega;30.9	Chinandega;34.2	Puerto Cabezas;26.1	Managua A. C. Sandino;1240.76	Puerto Cabezas;22.4	Puerto Cabezas;284.0	Managua A. C. Sandino;1.0	Chinandega;121.0	Bluefields;29.0	EMPTY;0.0	Bluefields;3.0
Niger	Agadez;32.4	NGUIGMI;38.2	Tillabery;24.5	Gaya;917.62	Agadez;19.9	Niamey-Aero;71.0	Niamey-Aero;3.0	Niamey-Aero;90.0	Gaya;3.0	Tahoua;3.0	BIRNI-NKONNI;3.0
Nigeria	Lagos / Ikeja;27.3	MAIDUGURI;34.9	Lagos / Ikeja;24.1	EMPTY;0.0	Kano;12.6	Lagos / Ikeja;118.0	EMPTY;0.0	Lagos / Ikeja;147.0	Lagos / Ikeja;21.0	EMPTY;0.0	EMPTY;0.0
North Korea	CHANGJON;12.9	KAESONG;18.4	HAEJU;8.7	Kimchaek;5026.59	SENBONG;19.1	WONSAN;151.0	SAMJIYON;147.0	HUICHON;34.0	CHANGJIN;91.0	PYONGGANG;3.0	KUSONG;6.0
Norway	Ekofisk Oil Platform;10.5	BERGEN/FLORIDA;13.5	Ekofisk Oil Platform;9.4	EIK HOVE;3173.73	STATFJORD OIL RIG &;44.6	HEIDRUN;306.0	Hopen;225.0	Bergen / Flesland;41.0	FANARAKEN;263.0	Svalbard Lufthavn;6.0	Andoya;82.0
Oman	IBRI;30.3	IBRI;37.1	QALHAT;26.5	Sur;820.15	Thumrait;23.3	Salalah;100.0	Thumrait;4.0	Saiq;23.0	Seeb, International Airport;11.0	Masirah;2.0	Salalah;9.0
Pakistan	Sibi;28.2	Nawabshah;37.0	Jiwani;22.7	MURREE;6138.74	Hyderabad Airport;22.1	Islamabad Airport;112.0	MURREE;22.0	Islamabad Airport;132.0	SIALKOT;72.0	Karachi Airport;8.0	Islamabad Airport;10.0
Palau	Koror / Palau Island;27.9	Koror / Palau Island;32.1	Koror / Palau Island;25.7	Koror / Palau Island;5320.47	Koror / Palau Island;14.3	Koror / Palau Island;292.0	Koror / Palau Island;9.0	Koror / Palau Island;49.0	Koror / Palau Island;3.0	EMPTY;0.0	Koror / Palau Island;6.0
Panama	Santiago;29.0	Tocumen;33.3	Marcos A. Gelabert;25.4	David;2764.76	Marcos A. Gelabert;17.0	Marcos A. Gelabert;244.0	Tocumen;6.0	David;194.0	Albrook Afs / Balboa;135.0	David;2.0	Albrook Afs / Balboa;5.0
Papua New Guinea	MOMOTE W.O.;28.4	RABAUL;31.9	MOMOTE;25.8	LAE;4422.64	PORT MORESBY W.O.;13.1	POPONDETTA;253.0	LAE;1.0	PORT MORESBY W.O.;104.0	FINSCHAFEN;120.0	EMPTY;0.0	EMPTY;0.0
Paraguay	PUERTO CASADO;25.8	PUERTO CASADO;32.4	PUERTO CASADO;20.8	Encarnacion;2852.42	PEDRO JUAN CABALLER;17.6	Aeropuerto Guarany;143.0	Asuncion / Aeropuerto;12.0	Aeropuerto Guarany;148.0	CAPITAN MEZA;58.0	Asuncion / Aeropuerto;1.0	Asuncion / Aeropuerto;6.0
Peru	Tarapoto;28.4	Pucallpa;34.5	Talara;23.7	QUINCEMIL;11089.89	Talara;42.0	Iquitos;243.0	Lima-Callao / Aerop. Internacional Jorgechavez;3.0	Iquitos;94.0	Iquitos;250.0	Puerto Maldonado;5.0	Pisco;14.0
Philippines	Sangley Point;29.4	Subic Bay Weather Station;34.2	Sangley Point;26.8	HINATUAN;7583.7	CUYO;22.9	Tacloban;253.0	Aparri;7.0	Davao Airport;137.0	Baguio;353.0	Subic Bay Weather Station;6.0	Ninoy Aquino Inter-National Airport;13.0
Poland	KOLO;20.1	KOLO;28.8	SWINOUJSCIE;7.8	KASPROWY WIERCH;2156.85	SNIEZKA;55.0	Gdansk-Rebiechowo;242.0	KASPROWY WIERCH;161.0	Warszawa-Okecie;75.0	SNIEZKA;328.0	KLODZKO;2.0	Koszalin;22.0
Portugal	MADEIRA;20.0	Beja;24.1	MADEIRA;17.7	Lajes Acores;4170.97	Santa Maria Acores;24.9	Lajes Acores;270.0	Braganca;13.0	Porto / Pedras Rubras;31.0	VIANA DO CASTELO;163.0	Braganca;3.0	Porto / Pedras Rubras;9.0
Puerto Rico	Ponce / Mercedita;29.0	Ponce / Mercedita;32.6	PONCE/MERCEDITA;26.4	SAN JUAN L M MARIN;2416.66	Aquadilla / Borinquen;24.3	SAN JUAN INTL ARPT;238.0	Mayaguez / Eugenio;1.0	Aquadilla / Borinquen;118.0	SAN JUAN INTL ARPT;10.0	SAN JUAN INTL ARPT;3.0	PONCE/MERCEDITA;1.0
Qatar	Doha International Airport;29.1	Doha International Airport;34.6	Doha International Airport;24.9	Doha International Airport;111.26	Doha International Airport;16.8	Doha International Airport;48.0	Doha International Airport;4.0	Doha International Airport;21.0	Doha International Airport;31.0	Doha International Airport;1.0	Doha International Airport;2.0
Romania	OLTENITA;13.7	GALATI;20.9	SULINA;10.6	BALEA LAC;1561.59	VARFU OMU;48.1	Oradea;216.0	VARFU OMU;142.0	DROBETA TURNU SEVER;71.0	VARFU OMU;318.0	PITESTI;8.0	VARFU OMU;17.0
Russia	CARSANGA;19.8	CARSANGA;26.8	ESENGYLY;14.5	TARA;7662.88	SHIP C7C/CHARLIE;39.9	SHIP C7C/CHARLIE;319.0	POLARGMO IM. E.T. K;253.0	SHIRAK;95.0	SAKARA;274.0	Adler;6.0	SHIP C7C/CHARLIE;97.0
Rwanda	Kigali;21.8	Kigali;28.5	Kigali;16.8	EMPTY;0.0	Kigali;7.3	Kigali;159.0	EMPTY;0.0	Kigali;148.0	Kigali;72.0	Kigali;1.0	EMPTY;0.0
Réunion	ILE JUAN DE NOVA;27.6	ILES GLORIEUSES;31.0	SERGE-FROLOW (ILE T;24.7	Saint-Denis / Gillot;3430.08	SERGE-FROLOW (ILE T;27.5	Saint-Denis / Gillot;200.0	SERGE-FROLOW (ILE T;1.0	Saint-Denis / Gillot;25.0	Saint-Denis / Gillot;26.0	Saint-Denis / Gillot;6.0	SERGE-FROLOW (ILE T;2.0
Saint Helena	Wide Awake Field Ascension Island;25.7	Wide Awake Field Ascension Island;29.0	Wide Awake Field Ascension Island;23.8	ST. HELENA IS.;765.93	Wide Awake Field Ascension Island;34.7	ST. HELENA IS.;281.0	Wide Awake Field Ascension Island;1.0	Wide Awake Field Ascension Island;2.0	ST. HELENA IS.;265.0	EMPTY;0.0	Wide Awake Field Ascension Island;1.0
Saint Kitts and Nevis	Golden Rock;28.0	Golden Rock;30.8	Golden Rock;24.4	Golden Rock;1712.75	Golden Rock;22.6	Golden Rock;191.0	EMPTY;0.0	Golden Rock;50.0	EMPTY;0.0	Golden Rock;11.0	Golden Rock;2.0
Saint Lucia	Vigie;28.4	Vigie;31.5	Hewanorra International Airport;25.2	Vigie;2188.48	Hewanorra International Airport;28.3	Hewanorra International Airport;251.0	Hewanorra International Airport;1.0	Hewanorra International Airport;51.0	Hewanorra International Airport;2.0	Hewanorra International Airport;1.0	Hewanorra International Airport;1.0
Saint Pierre and Miquelon	Saint-Pierre;7.5	Saint-Pierre;10.4	Saint-Pierre;5.1	Saint-Pierre;1222.17	Saint-Pierre;29.0	Saint-Pierre;226.0	Saint-Pierre;116.0	Saint-Pierre;8.0	Saint-Pierre;139.0	EMPTY;0.0	Saint-Pierre;5.0
Saint Vincent and the Grenadines	Arnos Vale;28.5	Arnos Vale;31.2	Arnos Vale;25.1	Arnos Vale;2727.08	CASTRIES;21.7	Arnos Vale;235.0	EMPTY;0.0	Arnos Vale;17.0	EMPTY;0.0	Arnos Vale;1.0	EMPTY;0.0
Samoa	CAPE TAPUTAPU;33.5	CAPE TAPUTAPU;35.9	CAPE TAPUTAPU;32.1	Apia / Upolu Island;3374.64	TA`U;17.4	Faleolo Intl / Apia;208.0	Faleolo Intl / Apia;2.0	Faleolo Intl / Apia;41.0	Apia / Upolu Island;2.0	Apia / Upolu Island;2.0	Apia / Upolu Island;7.0
Saudi Arabia	Makkah;31.8	Makkah;39.9	Gizan;27.5	Taif;536.2	K.F.I.A. (KING FAHA;29.9	Khamis Mushait;71.0	Turaif;7.0	Abha;82.0	Dhahran;34.0	Taif;2.0	Bisha;8.0
Senegal	Matam;31.4	Matam;39.6	Matam;24.7	Ziguinchor;1795.72	Dakar / Yoff;21.0	Ziguinchor;102.0	Podor;2.0	Tambacounda;112.0	Dakar / Yoff;17.0	Ziguinchor;5.0	Dakar / Yoff;3.0
Seychelles	Seychelles Inter-National Airport;27.9	Seychelles Inter-National Airport;30.6	Seychelles Inter-National Airport;25.9	Seychelles Inter-National Airport;2619.74	FOLLY ISLAND;32.0	Seychelles Inter-National Airport;273.0	EMPTY;0.0	Seychelles Inter-National Airport;39.0	Seychelles Inter-National Airport;2.0	Seychelles Inter-National Airport;1.0	Seychelles Inter-National Airport;3.0
Singapore	Singapore / Paya Lebar;29.2	Singapore / Changi Airport;32.4	Singapore / Paya Lebar;26.4	Singapore / Changi Airport;6642.91	Singapore / Paya Lebar;11.9	Singapore / Paya Lebar;261.0	Singapore / Paya Lebar;1.0	Singapore / Paya Lebar;199.0	Singapore / Paya Lebar;66.0	Singapore / Paya Lebar;3.0	Singapore / Paya Lebar;3.0
Slovakia	DUDINCE;12.7	DUDINCE;17.6	Bratislava Ivanka;7.7	LOMNICKY STIT;2125.21	PEC POD SNEZKOU;53.9	SERAK;264.0	LOMNICKY STIT;193.0	Sliac;52.0	PEC POD SNEZKOU;321.0	PARDUBICE;2.0	CHURANOV;12.0
Slovenia	Portoroz / Secovlje;15.2	Portoroz / Secovlje;20.1	Portoroz;11.0	KREDARICA;2470.11	KREDARICA;21.5	Ljubljana / Brnik;207.0	KREDARICA;133.0	Ljubljana / Brnik;74.0	KREDARICA;192.0	Portoroz;1.0	KREDARICA;6.0
Solomon Islands	Munda;27.5	Honiara / Henderson;31.6	Munda;24.6	Munda;3692.0	Munda;11.3	Munda;286.0	EMPTY;0.0	Munda;130.0	Honiara / Henderson;4.0	Honiara / Henderson;2.0	Honiara / Henderson;1.0
South Africa	VIOOLSDRIF;24.2	VIOOLSDRIF;33.4	CAPE ST. LUCIA;18.6	Gough Island;3242.1	Marion Island;39.1	Marion Island;320.0	Marion Island;93.0	Mmabatho Airport;95.0	ALEXANDER BAY;129.0	East London;3.0	Marion Island;38.0
South Georgia and the South Sandwich Islands	SOUTH THULE ISLAND;18.8	SOUTH THULE ISLAND;19.9	SOUTH THULE ISLAND;17.5	Mount Pleasant Airport;831.89	STANLEY;33.1	Mount Pleasant Airport;302.0	GRYTVIKEN S.GEORGIA;189.0	Mount Pleasant Airport;9.0	STANLEY;36.0	EMPTY;0.0	Mount Pleasant Airport;56.0
South Korea	SEOGWIPO;17.8	SEOGWIPO;21.5	SEOGWIPO;14.6	SEOGWIPO;2669.07	CHEJU;31.7	Cheju International Airport;197.0	ULLEUNGDO;79.0	Kwangju Ab;39.0	Kwangju Ab;281.0	GIMPO INTL AIRPORT;2.0	Cheju International Airport;20.0
Spain	Fuerteventura / Aeropuerto;22.6	Sevilla / San Pablo;27.3	Hierro / Aeropuerto;19.9	Santiago / Labacolla;2520.65	TARIFA;35.4	Bilbao / Sondica;228.0	NAVACERRADA;66.0	Barcelona / Aeropuerto;59.0	Rota;222.0	Gerona / Costa Brava;5.0	San Sebastian / Fuenterrabia;15.0
Sri Lanka	JAFFNA;29.2	VAVUNIYA;33.3	MANNAR;25.8	RATNAPURA;4739.44	Trincomalee;16.1	RATNAPURA;227.0	Katunayake;2.0	Katunayake;144.0	RATNAPURA;143.0	Batticaloa;1.0	RATNAPURA;3.0
Sudan	Khartoum;31.2	Atbara;38.9	TARO ISLAND;25.4	AUKI;3220.76	Khartoum;17.4	AUKI;227.0	Khartoum;3.0	HONIARA;109.0	Geneina;4.0	TARO ISLAND;1.0	Malakal;1.0
Suriname	ZORG EN HOOP;28.3	Zanderij;32.9	NICKERIE;24.6	ZORG EN HOOP;2899.12	NICKERIE;16.5	Zanderij;294.0	Zanderij;6.0	Zanderij;173.0	Zanderij;115.0	Zanderij;2.0	Zanderij;2.0
Swaziland	Manzini / Matsapa Airport;22.8	Manzini / Matsapa Airport;28.2	Manzini / Matsapa Airport;15.9	Manzini / Matsapa Airport;807.54	Manzini / Matsapa Airport;9.4	Manzini / Matsapa Airport;90.0	Manzini / Matsapa Airport;1.0	Manzini / Matsapa Airport;58.0	Manzini / Matsapa Airport;90.0	EMPTY;0.0	Manzini / Matsapa Airport;3.0
Sweden	MALMO;10.3	MALMO;13.8	MASESKAR;8.2	TORUP;1768.78	GRUNDKALLEN;35.3	Goteborg / Landvetter;262.0	MIERKENIS;211.0	Goteborg / Landvetter;29.0	Goteborg / Landvetter;177.0	Stockholm / Arlanda;3.0	Jonkoping Flygplats;16.0
Switzerland	LOCARNO-MONTI;13.8	Lugano;19.2	LOCARNO-MONTI;10.3	SAENTIS;3433.28	JUNGFRAUJOCH;37.0	Grenchen;232.0	JUNGFRAUJOCH;228.0	LOCARNO-MAGADINO;53.0	SAENTIS;234.0	ZURICH (TOWN/VILLE);3.0	GUETSCH;12.0
Syria	ABUKMAL;23.5	ABUKMAL;29.7	ABUKMAL;17.1	BASEL ASSAD INT. A;1196.63	Kamishli;18.7	Lattakia;101.0	NABK;16.0	Lattakia;67.0	NABK;59.0	Damascus Int. Airport;1.0	Lattakia;11.0
